"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Till earth outwears","Before and after summer ; Collected songs : 54 songs, including 8 cycles or sets ; Earth and air and rain ; I said to love ; Let us garlands bring ; Love's labour's lost ; Oh fair to see ; Songs. Selections ; To a poet","015116180","Monograph","Notated music","Volume","","","9781423456773","Finzi, Gerald","1901-1956","person","","Finzi, Gerald, 1901-1956 [person] ; Ferguson, Howard, 1908-1999 [person] ; Finzi, Joy, 1907-1991 [person] ; Finzi, Christopher [person]","","","England","Milwaukee, Wisconsin","Boosey & Hawkes ; Hal Leonard","2008","Medium,low voice","1 score (224 pages), 31 cm","783.542 ; 783.547","G.1395.b. (2.) ; H06/.10301","Barker, George, 1812-1876--Musical settings ; Blunden, Edmund, 1896-1974--Musical settings ; Hardy, Thomas, 1840-1928--Musical settings ; Song cycles ; Songs (Medium voice) with piano ; Flecker, James Elroy, 1884-1915--Musical settings ; Traherne, Thomas, -1674--Musical settings ; Jones, William, Sir, 1746-1794--Musical settings ; Shakespeare, William, 1564-1616--Musical settings ; De la Mare, Walter, 1873-1956--Musical settings ; Lucas, F. L. (Frank Laurence), 1894-1967--Musical settings ; Songs (Low voice) with piano ; Shanks, Edward, 1892-1953--Musical settings ; Gurney, Ivor, 1890-1937--Musical settings ; Bridges, Robert, 1844-1930--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Edited by Howard Ferguson, Joyce Finzi, and Christopher Finzi ; Includes prefatory notes and biographical information on the composer in English preceding score ; Some songs are in their original keys and some have been transposed by the composer. Only two songs, Life laughs onward (Till earth outwears) and To a poet a thousand years hence (To a poet), have been transposed by the editors",""
"Till earth outwears","Collected songs : 44 songs, including 7 cycles or sets ; I said to love ; Let us garlands bring ; Love's labour's lost ; Oh fair to see ; Songs. Selections ; To a poet ; Young man's exhortation","015116173","Monograph","Notated music","Volume","","","9781423456742","Finzi, Gerald","1901-1956","person","","Finzi, Gerald, 1901-1956 [person] ; Ferguson, Howard, 1908-1999 [person] ; Finzi, Joy, 1907-1991 [person] ; Finzi, Christopher [person]","","","England","Milwaukee, Wisconsin","Boosey & Hawkes ; Hal Leonard","2008","High voice","1 score (170 pages), 31 cm","783.342 ; 783.347","G.1395.b. (1.) ; H06/.10293","Barker, George, 1812-1876--Musical settings ; Blunden, Edmund, 1896-1974--Musical settings ; Hardy, Thomas, 1840-1928--Musical settings ; Song cycles ; Flecker, James Elroy, 1884-1915--Musical settings ; Traherne, Thomas, -1674--Musical settings ; Jones, William, Sir, 1746-1794--Musical settings ; Shakespeare, William, 1564-1616--Musical settings ; De la Mare, Walter, 1873-1956--Musical settings ; Lucas, F. L. (Frank Laurence), 1894-1967--Musical settings ; Songs (High voice) with piano ; Shanks, Edward, 1892-1953--Musical settings ; Gurney, Ivor, 1890-1937--Musical settings ; Bridges, Robert, 1844-1930--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Edited by Howard Ferguson, Joyce Finzi, and Christopher Finzi ; Includes prefatory notes and biographical information on the composer in English preceding score ; Most songs transposed from original lower keys by the composer. Only two songs, Life laughs onward (Till earth outwears) and To a poet a thousand years hence (To a poet), have been transposed by the editors",""
"Tillie's allsorts","A century of English song : an anthology of 20th-century songs compiled and published by The Association of English Singers and Speakers. Volume 9 for high voice and piano ; Be music, night ; High flight ; In the garden ; Love ; Scholar's lament ; Songs (1909) ; Songs of Ben Jonson ; Songs of experience ; Spring sadness ; Sweet chance","018156147","Monograph","Notated music","Volume","","","","","","","","Association of English Singers and Speakers [organisation] ; Lines, Marian, 1933- [person] ; Roe, Betty [person] ; Patchen, Kenneth, 1911-1972 [person] ; Betteridge, Michael, 1988- [person] ; Magee, John, 1922-1941 [person] ; Blunden, Edmund, 1896-1974 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Blake, William, 1757-1827 [person] ; Sykes, John, 1909-1962 [person] ; Bush, Geoffrey [person] ; Wishart, Peter, 1921-1984 [person] ; Humphreys, Garry, writer [person] ; Bedford, David [person] ; Grant, Julian, 1960- [person] ; Swinburne, Algernon Charles, 1837-1909 [person] ; Jonson, Ben, approximately 1573-1637 [person] ; Pollard, Clive [person] ; Williams, Roderick [person] ; Hugh-Jones, Elaine, 1927- [person] ; Herbert, George, 1593-1633 [person] ; Coleridge-Taylor, Samuel, 1875-1912 [person] ; Reid, Christopher, 1949- [person] ; Hold, Trevor [person] ; Waddell, Helen, 1889-1965, translator [person] ; Davies, W. H. (William Henry), 1871-1940 [person]","","","England","Tewkesbury","Association of English Singers & Speakers ; Goodmusic","2016","","1 score (59 pages), 30 cm","783.342","F.1946.b./9 ; H06/.17212","Blunden, Edmund, 1896-1974--Musical settings ; Herbert, George, 1593-1633--Musical settings ; Song cycles--Excerpts ; Patchen, Kenneth, 1911-1972--Musical settings ; Lines, Marian, 1933- ; Jonson, Ben, 1573?-1637--Musical settings ; Davies, W. H. (William Henry), 1871-1940--Musical settings ; Reid, Christopher, 1949---Musical settings ; Magee, John, 1922-1941--Musical settings ; Songs (High voice) with piano ; Blake, William, 1757-1827--Musical settings ; Swinburne, Algernon Charles, 1837-1909--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Excerpt","English","Includes notes on the composers by Garry Humphreys ; Subtitle on cover: An anthology for singers",""
"Time Flies, etc","","003165361","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Christian Knowledge Society","1897","","280 pages (8°)","","4429.bbb.31","","","","",""
"Time flies : a reading diary","","003165360","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London ; Oxford","Christian Knowledge Society","1885","","280 pages (8°)","","12357.bb.36 ; C.194.a.538","Devotional exercises ; Calendars","","English","",""
"Time flies : a reading diary","","010238397","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","","","S.P.C.K","1897","","","","B.44.b.3","","","English","",""
"Time flies. A reading diary ... Seventh thousand","","003165362","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England ; United States of America","Brighton ; London ; New York","E. & J. B. Young ; Society for Promoting Christian Knowledge","1902","","280 pages, 20 cm","","X.208/2132","","","","",""
"To a poet","Before and after summer ; Collected songs : 54 songs, including 8 cycles or sets ; Earth and air and rain ; I said to love ; Let us garlands bring ; Love's labour's lost ; Oh fair to see ; Songs. Selections ; Till earth outwears","015116180","Monograph","Notated music","Volume","","","9781423456773","Finzi, Gerald","1901-1956","person","","Finzi, Gerald, 1901-1956 [person] ; Ferguson, Howard, 1908-1999 [person] ; Finzi, Joy, 1907-1991 [person] ; Finzi, Christopher [person]","","","England","Milwaukee, Wisconsin","Boosey & Hawkes ; Hal Leonard","2008","Medium,low voice","1 score (224 pages), 31 cm","783.542 ; 783.547","G.1395.b. (2.) ; H06/.10301","Barker, George, 1812-1876--Musical settings ; Blunden, Edmund, 1896-1974--Musical settings ; Hardy, Thomas, 1840-1928--Musical settings ; Song cycles ; Songs (Medium voice) with piano ; Flecker, James Elroy, 1884-1915--Musical settings ; Traherne, Thomas, -1674--Musical settings ; Jones, William, Sir, 1746-1794--Musical settings ; Shakespeare, William, 1564-1616--Musical settings ; De la Mare, Walter, 1873-1956--Musical settings ; Lucas, F. L. (Frank Laurence), 1894-1967--Musical settings ; Songs (Low voice) with piano ; Shanks, Edward, 1892-1953--Musical settings ; Gurney, Ivor, 1890-1937--Musical settings ; Bridges, Robert, 1844-1930--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Edited by Howard Ferguson, Joyce Finzi, and Christopher Finzi ; Includes prefatory notes and biographical information on the composer in English preceding score ; Some songs are in their original keys and some have been transposed by the composer. Only two songs, Life laughs onward (Till earth outwears) and To a poet a thousand years hence (To a poet), have been transposed by the editors",""
"To a poet","Collected songs : 44 songs, including 7 cycles or sets ; I said to love ; Let us garlands bring ; Love's labour's lost ; Oh fair to see ; Songs. Selections ; Till earth outwears ; Young man's exhortation","015116173","Monograph","Notated music","Volume","","","9781423456742","Finzi, Gerald","1901-1956","person","","Finzi, Gerald, 1901-1956 [person] ; Ferguson, Howard, 1908-1999 [person] ; Finzi, Joy, 1907-1991 [person] ; Finzi, Christopher [person]","","","England","Milwaukee, Wisconsin","Boosey & Hawkes ; Hal Leonard","2008","High voice","1 score (170 pages), 31 cm","783.342 ; 783.347","G.1395.b. (1.) ; H06/.10293","Barker, George, 1812-1876--Musical settings ; Blunden, Edmund, 1896-1974--Musical settings ; Hardy, Thomas, 1840-1928--Musical settings ; Song cycles ; Flecker, James Elroy, 1884-1915--Musical settings ; Traherne, Thomas, -1674--Musical settings ; Jones, William, Sir, 1746-1794--Musical settings ; Shakespeare, William, 1564-1616--Musical settings ; De la Mare, Walter, 1873-1956--Musical settings ; Lucas, F. L. (Frank Laurence), 1894-1967--Musical settings ; Songs (High voice) with piano ; Shanks, Edward, 1892-1953--Musical settings ; Gurney, Ivor, 1890-1937--Musical settings ; Bridges, Robert, 1844-1930--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Edited by Howard Ferguson, Joyce Finzi, and Christopher Finzi ; Includes prefatory notes and biographical information on the composer in English preceding score ; Most songs transposed from original lower keys by the composer. Only two songs, Life laughs onward (Till earth outwears) and To a poet a thousand years hence (To a poet), have been transposed by the editors",""
"To my Mother on the Anniversary of her birth. April 27, 1842 [Christina Rossetti's first verses.]","","003165363","Monograph","Language material ; Text","Sheet","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","G. Polidori's","1842","","1 sheet (8°)","","C.39.e.64. (2.)","","","","",""
"Trollmarknad : och andra dikter","Poems. Swedish. Selections","016798093","Monograph","Language material ; Text","Volume","","","9789172473737","Rossetti, Christina Georgina","1830-1894","person","author","Rossetti, Christina Georgina, 1830-1894, author [person] ; Thörnvall, Olle, translator ; writer [person]","Lilla serien","number 50 [Lilla serien]","Sweden","Lund","Ellerströms","2014","","47 pages, 18 cm","","YF.2017.a.15976","","Poetry or verse","Swedish","In Swedish; translated from the English",""
"Tune me, O Lord : anthem for unaccompanied mixed voices","","018097996","Monograph","Notated music","Volume","","","","Gower, Christopher","1939-","person","composer","Gower, Christopher, 1939-, composer [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","Matfield, Kent","Encore Publications","2016","","1 score (12 pages), 26 cm","782.525","E.1435.p. (7.)","Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Anthems ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Chorus: SATB (with divisions) ; Includes piano reduction for rehearsal only ; Words: Christina Rossetti",""
"Two anthems of meditation : for SATB choir, (with optional organ)","Blessed are the eyes ; O Lord, seek us","014463587","Monograph","Notated music","Volume","","","","Bullard, Alan","1947-","person","composer","Rossetti, Christina Georgina, 1830-1894 [person] ; Bullard, Alan, 1947- [person] ; Studdert Kennedy, Geoffrey Anketell, 1883-1929 [person] ; Bullard, Alan, 1947-, composer [person]","Colne Edition church music series","","England","Colchester, Essex ; Colne ; Laggan Bridge, Scottish Highlands","Music ; sole selling agents Spartan Press","2006","Revised edition","1 condensed score (4 unnumbered pages), 25 cm","782.525","","Choruses, Sacred (Mixed voices) with organ ; Studdert Kennedy, Geoffrey Anketell, 1883-1929--Musical settings ; Choruses, Sacred (Mixed voices), Unaccompanied ; Anthems ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Caption title",""
"Two romantic poems : for soprano or tenor and piano","Romantic poems","018519762","Monograph","Notated music","Volume","","","","Inglis, Brian","1969-","person","composer","Inglis, Brian, 1969-, composer [person] ; Gorton, Abigail, writer [person] ; Keats, John, 1795-1821 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","Chipping Norton","Composers","2017","","1 score (25 pages), 30 cm","783.342","G.1513. (8.)","Inglis, Brian, 1969---Manuscripts--Facsimiles ; Music--Manuscripts--Facsimiles ; Songs (High voice) with piano ; Keats, John, 1795-1821--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Facsimile ; Manuscript ; Song","English","Includes notes on the pieces by Abigail Gorton and the composer ; Reproduced from holograph",""
"Two romantic poems : for soprano or tenor and piano","Romantic poems","019566762","Monograph","Notated music","Volume","","","","Inglis, Brian","1969-","person","composer","Inglis, Brian, 1969-, composer [person] ; Gorton, Abigail, writer [person] ; Keats, John, 1795-1821 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","Chipping Norton","Composers","2018","","1 score (12 pages), 30 cm","783.342","G.1586.g. (10.)","Songs (High voice) with piano ; Keats, John, 1795-1821--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Song","English","Includes notes on the pieces by Abigail Gorton and the composer",""
"Two short prayers : set for SAB and organ","","015441529","Monograph","Notated music","Volume","","","","Smith, Alan","1962-2017","person","","Columba, saint [person] ; Smith, Alan, 1962-2017 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","Dalton-in-Furness","Animus","2006","","1 score (7 pages), 26 cm","782.525","E.756.nn. (29.)","Choruses, Sacred (Mixed voices, 3 parts) with organ ; Anthems ; Columba, Saint, 521-597--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Words: St. Columba (1st work), Christina Rossetti (2nd work)",""
"Vers la Joie. Ames païennes. Ames chrétiennes. Les tristesses de l'âme païenne.-Christina Rossetti.-Eugénie de Guérin.-Sainte Catherine de Sienne","Appendix","001206054","Monograph","Language material ; Text","Volume","","","","Faure, afterwards Goyau, Lucie Félix","","person","","Guérin, Eugénie de [person] ; Faure, afterwards Goyau, Lucie Félix [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","","Paris","","1906","","xlvii, 279 pages (8°)","","012355.f.18","","","French","",""
"Verses (reprinted from Called to be saints, Time flies, The face of the deep ...)","","010238398","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","S.P.C.K","1894","","236 pages","","W6/5063","","","English","",""
"Verses ... reprinted from G. Polidori's edition of 1847. Edited by J. D. Symon. (The decorations by Lucien Pissarro.)","","003165365","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Pissarro, Lucien, 1863-1944 [person] ; Symon, James D. (James David), 1867-1925 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Eragny Press","1906","","volumes, 75 pages (8°)","","C.99.e.19","","","","",""
"Verses : dedicated to her mother","","015795611","Monograph","Language material ; Text","Volume","GBB150497","","9781570039270","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England ; United States of America","Columbia, South Carolina ; London","Eurospan ; University of South Carolina Press","2011","","1 volume, 21 cm","821.8","","","","English","",""
"Verses : reprinted from 'Called to be saints', 'Time flies', 'The face of the deep'","","010238399","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","United States of America","New York","Young, Society for Promoting Christian Knowledge","1895","","","","W18/0988","","","English","",""
"Verses [Chiefly collected from her devotional writings.]","","003165366","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Christian Knowledge Society","1893","","236 pages (8°)","","4429.c.3","","","","",""
"Verses","","003165368","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","S.P.C.K","1925","","236 pages (8°)","","011644.de.41","","","","",""
"Verses, etc","","003165367","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","","1898","","","","03440.dh.63","","","","",""
"Verses. By C. G. Rossetti. Dedicated to her mother [With an introductory note by G. Polidori.]","","003165364","Monograph","Language material ; Text","Volume","","","","Rossetti, Christina Georgina","1830-1894","person","","Polidori, Gaetano [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","G. Polidori's","1847","","66 pages (8°)","","C.39.e.64. (1.)","","","","",""
"Victorian love songs : song cycle for soprano solo","","019081631","Monograph","Notated music","Volume","","","","Harris, Roger, musicologist","","person","composer","Harris, Roger, musicologist, composer [person] ; Rossetti, Dante Gabriel, 1828-1882 [person] ; Shelley, Percy Bysshe, 1792-1822 [person] ; Browning, Elizabeth Barrett, 1806-1861 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","Chorleywod","R. Clyde","2018","Full score","1 score (44 pages), 30 cm","783.6647","G.1504.zz. (2.)","Song cycles ; Rossetti, Dante Gabriel, 1828-1882--Musical settings ; Shelley, Percy Bysshe, 1792-1822--Musical settings ; Songs (High voice) with orchestra--Scores ; Browning, Elizabeth Barrett, 1806-1861--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","At end of score: Orch. 26/02/18 ; Duration: approximately 12 min ; For soprano and orchestra",""
"Victorian love songs : song cycle for soprano solo","Victorian love songs. Vocal score","019081641","Monograph","Notated music","Volume","","","","Harris, Roger, musicologist","","person","composer","Harris, Roger, musicologist, composer [person] ; Rossetti, Dante Gabriel, 1828-1882 [person] ; Shelley, Percy Bysshe, 1792-1822 [person] ; Browning, Elizabeth Barrett, 1806-1861 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","Chorleywod","R. Clyde","2018","Vocal score","1 vocal score (20 pages), 30 cm","783.6647","","Shelley, Percy Bysshe, 1792-1822--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings ; Browning, Elizabeth Barrett, 1806-1861--Musical settings ; Rossetti, Dante Gabriel, 1828-1882--Musical settings","Song ; Vocal score","English","Accompaniment reduced for piano; originally for soprano and orchestra ; At end of score: revised 03/03/18",""
"Victorian love songs. Vocal score","Victorian love songs : song cycle for soprano solo","019081641","Monograph","Notated music","Volume","","","","Harris, Roger, musicologist","","person","composer","Harris, Roger, musicologist, composer [person] ; Rossetti, Dante Gabriel, 1828-1882 [person] ; Shelley, Percy Bysshe, 1792-1822 [person] ; Browning, Elizabeth Barrett, 1806-1861 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","Chorleywod","R. Clyde","2018","Vocal score","1 vocal score (20 pages), 30 cm","783.6647","","Shelley, Percy Bysshe, 1792-1822--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings ; Browning, Elizabeth Barrett, 1806-1861--Musical settings ; Rossetti, Dante Gabriel, 1828-1882--Musical settings","Song ; Vocal score","English","Accompaniment reduced for piano; originally for soprano and orchestra ; At end of score: revised 03/03/18",""
"Victorian poets and the politics of culture : discourse and ideology","","012667542","Monograph","Language material ; Text","Volume","GB9884450","","9780813918181","Harrison, Antony H.","","person","","Harrison, Antony H. [person]","Victorian literature and culture series","","England","Charlottesville ; London","University Press ; Virginia","1998","","189 pages, 24 cm","821.809358","98/31432 ; YC.1998.b.7368","Browning, Elizabeth Barrett, 1806-1861--Political and social views ; English poetry--19th century--History and criticism ; Arnold, Matthew, 1822-1888--Political and social views ; Tennyson, Alfred Tennyson, Baron, 1809-1892--Political and social views ; Politics and literature--Great Britain--History--19th century ; Rossetti, Christina Georgina, 1830-1894--Political and social views ; Culture--Political aspects--Great Britain--History--19th century ; Medievalism--England--History--19th century ; Great Britain--History--Victoria, 1837-1901 ; Discourse analysis, Literary","","English","",""
"What are these that glow from afar : S.A.T.B","","005246586","Monograph","Notated music","Volume","","","","Gray, Alan","1855-1935","person","","Gray, Alan, 1855-1935 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Eboracum choral series","ECS 80 [Eboracum choral series]","England","York","Banks Music","1981","","1 score (12 pages), 26 cm","782.5542","F.1874.x./80","Songs for mixed voices with piano","","English","Originally published by: Stainer & Bell Ltd ; With organ accompaniment",""
"When I Am Dead","When I am dead my dearest","015002794","Monograph","Notated music","Volume","","","","Ireland, John","1879-1962","person","","Ireland, John, 1879-1962 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Oxford University Press","1928","","4 pages (folio)","780","W87/0252","","","","Song in F",""
"When I am dead my dearest","When I Am Dead","015002794","Monograph","Notated music","Volume","","","","Ireland, John","1879-1962","person","","Ireland, John, 1879-1962 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Oxford University Press","1928","","4 pages (folio)","780","W87/0252","","","","Song in F",""
"When I am dead, my dearest : high voice and piano or low voice and piano","","015642021","Monograph","Notated music","Volume","","","","Bullard, Alan","1947-","person","","Rossetti, Christina Georgina, 1830-1894 [person] ; Bullard, Alan, 1947- [person]","Colne Edition solo song series","36 [Colne Edition solo song series]","England","Colchester ; Colne","","2009","New edition","1 score (4 pages), 1 portrait (black and white), 31 cm","783","","Songs (High voice) with piano ; Songs (Low voice) with piano ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","Cover title ; The score contains versions in high and low keys",""
"Why do I love?","A century of English song : an anthology of 20th-century songs compiled and published by The Association of English Singers and Speakers. Volume 8 for medium/low female voice and piano ; Country-lover ; Dolls ; Heffle cuckoo fair ; Idlers ; Miscellanie ; Othello ; Songs ; Songs (1935) ; Songs of Walter de la Mare ; Songs of the East ; Wind from the South","018168059","Monograph","Notated music","Volume","","","","","","","","Quilter, Roger, 1877-1953 [person] ; Bridges, Robert, 1844-1930 [person] ; Gurney, Ivor, 1890-1937 [person] ; Milford, Robin, 1903-1959 [person] ; Association of English Singers and Speakers [organisation] ; Corp, Ronald [person] ; Shaw, Martin, 1875-1958 [person] ; Bantock, Granville, Sir, 1868-1946 [person] ; Peel, Graham, 1878-1937 [person] ; Shakespeare, William, 1564-1616 [person] ; Kipling, Rudyard, 1865-1936 [person] ; Bantock, Helen F. (Helen Francesca), 1868-1961 [person] ; Somervell, Arthur, 1863-1937 [person] ; Scott, Cyril, 1879-1970 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Blunden, Edmund, 1896-1974 [person] ; Belloc, Hilaire, 1870-1953 [person] ; Blake, William, 1757-1827 [person] ; Irvine, John, 1903-1964 [person] ; Prokosch, Frederic, 1908-1989 [person] ; Humphreys, Garry, writer [person] ; Arnold, Matthew, 1822-1888 [person] ; Hugh-Jones, Elaine, 1927- [person] ; Gibbs, C. Armstrong [person] ; Coleridge-Taylor, Samuel, 1875-1912 [person] ; De la Mare, Walter, 1873-1956 [person] ; Cooke, Deryck [person] ; Ephelia, active 1679 [person]","","","England","Tewkesbury","Association of English Singers & Speakers ; Goodmusic","2016","","1 score (56 pages), 30 cm","783.442","F.1946.b./8 ; H06/.17213","Blunden, Edmund, 1896-1974--Musical settings ; Song cycles--Excerpts ; Songs (Medium voice) with piano ; Bantock, Helen F. (Helen Francesca), 1868-1961--Musical settings ; Ephelia, active 1679--Musical settings ; Shakespeare, William, 1564-1616--Musical settings ; Arnold, Matthew, 1822-1888--Musical settings ; Irvine, John, 1903-1964--Musical settings ; De la Mare, Walter, 1873-1956--Musical settings ; Prokosch, Frederic, 1908-1989--Musical settings ; Songs (Low voice) with piano ; Kipling, Rudyard, 1865-1936--Musical settings ; Blake, William, 1757-1827--Musical settings ; Bridges, Robert, 1844-1930--Musical settings ; Belloc, Hilaire, 1870-1953--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Excerpt","English","Includes notes on the composers by Garry Humphreys ; Subtitle on cover: An anthology for singers",""
"William Michael and Lucy Rossetti: Outsider Insiders -- The True Cosmopolitans","'It once should save as well as kill': DG Rossetti and the Feminine ; A Sort of Aesthetico-Catholic Revival: Christina Rossetti and the London Ritualist Scene ; Christina's Challenge to Victorian Mentality: the Parodic, Unconventional Pattern of 'My Dream' ; Copyright and Control: Christina Rossetti and her Publishers ; DG Rossetti and the Art of the Inner Standing-Point ; In the Footsteps of His Father? Dantean Allegory in Gabriele Rossetti and Dante Gabriel Rossetti ; Introduction ; Maundering Medievalism: Dante Gabriel Rossetti and William Morris's Poetry ; Mystic, Madwoman or Metaphysician?: The Analogical Theodicy of Christina Rossetti ; Outsiders looking in : the Rossettis then and now ; Pews, Periodicals and Politics: The Rossetti Women as High Church Controversialists ; Pursuing the Well-Beloved: Thomas Hardy, Jocelyn Pearston and the School of Rossetti ; Recollections of PB Shelley: William Michael Rossetti, Political Commitment and Literary Capital ; Sibling Cultures ; The Aesthetics of Morbidity: DG Rossetti and Buchanan's The Fleshly School of Poetry ; The Taxman and the Aesthete: the Canon according to William Michael Rossetti","017990183","Monograph","Language material ; Text","Online resource","GBB702288","","9780857287496 ; 9781843313380","","","","","Clifford, David [person] ; Roussillon, Laurence [person]","Anthem nineteenth century studies","","England","London","Anthem","2004","","1 online resource (xiv, 284 pages), illustrations","700.922","ELD.DS.83792","Poets, English--19th century--Biography ; Cultuurgeschiedenis ; Rossetti, William Michael, 1829-1919 ; Rossetti, Lucy Madox Brown, 1843-1894 ; Rossetti, Christina Georgina, 1830-1894 ; BIOGRAPHY & AUTOBIOGRAPHY--Artists, Architects, Photographers ; Great Britain--Intellectual life--19th century ; Arts, English--19th century ; English literature ; Italians--Great Britain--History--19th century ; Rossetti, Dante Gabriel, 1828-1882 ; Victoriaanse tijd ; Critics ; Critics--Great Britain--Biography ; Painters ; Rossetti family ; Painters--Great Britain--Biography ; English literature--19th century--History and criticism","Biography ; Criticsm and interpretation ; History","English","",""
